Fondsposition per,"05.Juni2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ZURN","ZURICH INSURANCE GROUP AG","Finanzwesen","Aktien","68.469.470,31","0,68","68.469.470,31","114.235,00","599,37","Schweiz","SIX Swiss Exchange","CHF"
"ISP","INTESA SANPAOLO","Finanzwesen","Aktien","67.854.100,61","0,67","67.854.100,61","11.960.885,00","5,67","Italien","Borsa Italiana","EUR"
"INGA","ING GROEP NV","Finanzwesen","Aktien","59.104.551,66","0,58","59.104.551,66","2.275.878,00","25,97","Niederlande","Euronext Amsterdam","EUR"
"ENEL","ENEL","Versorger","Aktien","58.491.238,97","0,58","58.491.238,97","6.068.815,00","9,64","Italien","Borsa Italiana","EUR"
"NG.","NATIONAL GRID PLC","Versorger","Aktien","56.970.227,99","0,56","56.970.227,99","4.040.473,00","14,10","Vereinigtes Königreich","London Stock Exchange","GBP"
"BARC","BARCLAYS PLC","Finanzwesen","Aktien","56.855.501,34","0,56","56.855.501,34","10.727.345,00","5,30","Vereinigtes Königreich","London Stock Exchange","GBP"
"DG","VINCI SA","Industrie","Aktien","56.301.651,00","0,56","56.301.651,00","453.132,00","124,25","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"NOKIA","NOKIA","IT","Aktien","55.449.612,36","0,55","55.449.612,36","4.239.267,00","13,08","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"CS","AXA SA","Finanzwesen","Aktien","54.386.396,48","0,54","54.386.396,48","1.376.174,00","39,52","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ABI","ANHEUSER-BUSCH INBEV SA","Nichtzyklische Konsumgüter","Aktien","54.095.346,50","0,53","54.095.346,50","799.045,00","67,70","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"LLOY","LLOYDS BANKING GROUP PLC","Finanzwesen","Aktien","52.513.877,81","0,52","52.513.877,81","45.728.904,00","1,15","Vereinigtes Königreich","London Stock Exchange","GBP"
"BA.","BAE SYSTEMS PLC","Industrie","Aktien","52.241.522,58","0,52","52.241.522,58","2.336.680,00","22,36","Vereinigtes Königreich","London Stock Exchange","GBP"
"GLEN","GLENCORE PLC","Materialien","Aktien","50.524.375,06","0,50","50.524.375,06","7.391.881,00","6,84","Vereinigtes Königreich","London Stock Exchange","GBP"
"INVE B","INVESTOR CLASS B","Finanzwesen","Aktien","49.467.737,34","0,49","49.467.737,34","1.419.283,00","34,85","Schweden","Nasdaq Omx Nordic","SEK"
"ITX","INDUSTRIA DE DISENO TEXTIL SA","Zyklische Konsumgüter ","Aktien","47.673.780,00","0,47","47.673.780,00","866.796,00","55,00","Spanien","Bolsa De Madrid","EUR"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Finanzwesen","Aktien","46.058.406,60","0,45","46.058.406,60","102.786,00","448,10","Deutschland","Xetra","EUR"
"RMS","HERMES INTERNATIONAL","Zyklische Konsumgüter ","Aktien","44.396.218,00","0,44","44.396.218,00","27.422,00","1.619,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"NWG","NATWEST GROUP PLC","Finanzwesen","Aktien","44.021.818,15","0,43","44.021.818,15","6.401.489,00","6,88","Vereinigtes Königreich","London Stock Exchange","GBP"
"RHM","RHEINMETALL AG","Industrie","Aktien","43.561.268,60","0,43","43.561.268,60","36.007,00","1.209,80","Deutschland","Xetra","EUR"
"NDA FI","NORDEA BANK","Finanzwesen","Aktien","43.413.330,45","0,43","43.413.330,45","2.691.465,00","16,13","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"REL","RELX PLC","Industrie","Aktien","43.291.967,68","0,43","43.291.967,68","1.428.969,00","30,30","Vereinigtes Königreich","London Stock Exchange","GBP"
"EL","ESSILORLUXOTTICA SA","Gesundheitsversorgung","Aktien","42.592.123,60","0,42","42.592.123,60","244.712,00","174,05","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Finanzwesen","Aktien","42.054.352,72","0,41","42.054.352,72","386.969,00","108,68","Vereinigtes Königreich","London Stock Exchange","GBP"
"GLE","SOCIETE GENERALE SA","Finanzwesen","Aktien","41.839.830,00","0,41","41.839.830,00","595.500,00","70,26","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DBK","DEUTSCHE BANK AG","Finanzwesen","Aktien","40.828.228,85","0,40","40.828.228,85","1.483.045,00","27,53","Deutschland","Xetra","EUR"
"CPG","COMPASS GROUP PLC","Zyklische Konsumgüter ","Aktien","39.749.574,72","0,39","39.749.574,72","1.400.382,00","28,38","Vereinigtes Königreich","London Stock Exchange","USD"
"ENGI","ENGIE SA","Versorger","Aktien","39.163.567,02","0,39","39.163.567,02","1.453.733,00","26,94","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"PRX","PROSUS NV CLASS N","Zyklische Konsumgüter ","Aktien","38.721.623,60","0,38","38.721.623,60","964.424,00","40,15","Niederlande","Euronext Amsterdam","EUR"
"DHL","DEUTSCHE POST AG","Industrie","Aktien","38.704.389,12","0,38","38.704.389,12","742.032,00","52,16","Deutschland","Xetra","EUR"
"AAL","ANGLO AMERICAN PLC","Materialien","Aktien","38.351.773,14","0,38","38.351.773,14","858.819,00","44,66","Vereinigtes Königreich","London Stock Exchange","GBP"
"ARGX","ARGENX","Gesundheitsversorgung","Aktien","37.200.790,00","0,37","37.200.790,00","48.565,00","766,00","Belgien","Nyse Euronext - Euronext Brussels","EUR"
